******************************************************************
*** Stations. Format:
*** ID;Name;Opening Time;Closing Time;Stop Delay;Street;Town;PostalCode
******************************************************************
1;S1;00:00;23:59;8;235 E Garvey Ave;Monterey Park;CA 91755-1811
2;S2;00:00;23:59;13;1527 Franklin Avenue;Mineola;NY 11501-4827
3;S3;00:00;23:59;5;1065 N Aviation Blvd;Manhattan Beach;CA 90266-621
4;S4;00:00;23:59;12;6112 Enterprise Rd;Summit;MS 39666-7589
5;S5;00:00;23:59;6;255 Butler Ave;Lancaster;PA 17601-6308
6;S6;00:00;23:59;16;845 Dracut Ln;Schaumburg;IL 60173-5927
7;S7;00:00;23:59;11;3252 N 49th St;Pennsauken;NJ 08109-2120
8;S8;00:00;23:59;6;1565 Franklin Avenue;Mineola;NY 11501-4808
9;S9;00:00;23:59;12;753 Stillwater Ave, Ste 5;Bangor;ME 04401-3633
10;S10;00:00;23:59;12;4626 N Harlem Ave;Harwood Heights;IL 60706-4714
11;S11;00:00;23:59;18;9950 W 116th Pl;Overland Park;KS 66210-3103
12;S12;00:00;23:59;5;18214 Via Calma;Rowland Heights;CA 91748-3350
13;S13;00:00;23:59;18;7870 SE 171st Buchanan Pl;Lady Lake;FL 32162-8313
14;S14;00:00;23:59;8;734 Wampler Dr;Charleston;SC 29412-9157
15;S15;00:00;23:59;14;109 Shartom Dr;Augusta;GA 30907-4712
16;S16;00:00;23:59;8;110 W Arrow Hwy;Upland;CA 91786-5238
17;S17;00:00;23:59;10;1001 E Grant St, Unit F1;Santa Ana;CA 92701-8527
18;S18;00:00;23:59;7;721 Ninth Ave;New York;NY 10019-7256
19;S19;00:00;23:59;11;13 Fraternity Row;Gainesville;FL 32603-2174
20;S20;00:00;23:59;15;17403 Harlan D;Yorba Linda;CA 92886-1876
21;S21;00:00;23:59;15;19870 NW 54th Ave;Miami Gardens;FL 33055-1668
22;S22;00:00;23:59;7;1060 Beam Rd;Denver;PA 17517-9746
23;S23;00:00;23:59;7;1700 McHenry Ave, Ste 23;Modesto;CA 95350-4329
24;S24;00:00;23:59;14;5529 Joshua St;Lansing;MI 48911-3960
25;S25;00:00;23:59;20;19991 Santa Maria Ave;Castro Valley;CA 94546-4262
26;S26;00:00;23:59;20;805 SE Broad St;Metter;GA 30439-3932
27;S27;00:00;23:59;7;21710 Lundy Dr;Farmington Hills;MI 48336-4639
28;S28;00:00;23:59;15;4347 W 176th St;Torrance;CA 90504-3127
29;S29;00:00;23:59;20;218 Ash Ave;Ames;IA 50014-7115
30;S30;00:00;23:59;17;1635 Camile Pl;Santa Ana;CA 92703-4401
31;S31;00:00;23:59;15;109 Fountain Oaks Cir, Apt 63;Sacramento;CA 95831-5147
32;S32;00:00;23:59;6;1600 N Wilmot Rd;Tucson;AZ 85712-4456
33;S33;00:00;23:59;9;304 Shamrock Pl;Richardson;TX 75081-3960
34;S34;00:00;23:59;5;121 Spring Garden Dr;Hutto;TX 78634-4015
35;S35;00:00;23:59;8;8141 S East St;Indianapolis;IN 46227-2725
36;S36;00:00;23:59;15;2138 Nimrick Ln;San Jose;CA 95124-6015
37;S37;00:00;23:59;14;12605 Beach Blvd;Stanton;CA 90680-4007
38;S38;00:00;23:59;9;3621 Sterling Woods Dr;Eugene;OR 97408-7201
39;S39;00:00;23:59;12;1900 68th Ave;Greeley;CO 80634-7967
40;S40;00:00;23:59;13;6131 Monterey Rd, Apt 1;Los Angeles;CA 90042-4328
41;S41;00:00;23:59;9;6218 Mershon St;Philadelphia;PA 19149-3014
42;S42;00:00;23:59;9;155 Mineola Boulevard;Mineola;NY 11501-3920
43;S43;00:00;23:59;10;5012 W 163rd St;Stilwell;KS 66085-8243
44;S44;00:00;23:59;13;16502 Trailway Dr;Macomb;MI 48042-5777
45;S45;00:00;23:59;15;20918 State Highway 59;Noel;MO 64854-8278
46;S46;00:00;23:59;19;2044 22nd St;San Pablo;CA 94806-3539
47;S47;00:00;23:59;5;1272 70th St;Brooklyn;NY 11228-1406
48;S48;00:00;23:59;9;632 State St;White Haven;PA 18661-4028
49;S49;00:00;23:59;18;2111 E Belt Line Rd;Richardson;TX 75081-3900
50;S50;00:00;23:59;20;64711 E County Line Rd;Millersburg;IN 46543-9741
******************************************************************
*** Customers. Format:
*** ID;First Name;Last Name;Street;Town;PostalCode
******************************************************************
100706;Janise;Heard;1734 la Mancia;San Antonio;TX 78258-4547
105518;Iakovos;Abdo;430 Broad Street;Bloomfield;NJ 07003-2779
106550;Fulk;Mullice;1018 Adams Ave, Apt 3C;Salisbury;MD 21804-6687
107280;Archilai;Roden;387 Woodville Hwy;Crawfordville;FL 32327-0608
109529;Lettice ;Corner;6414 Magnum Ln;Knoxville;TN 37918-4038
116645;Annita;Eisenhart;1901 Kylemore Dr;Greensboro;NC 27406-6440
117609;Lucy ;Chadder;971 Terrace Lake Dr;Aurora;IL 60504-8978
122879;Alice ;Chave;14950 W Mountain View Blvd;Surprise;AZ 85374-4700
122958;Felix;Edwards;4106 Tucson Dr;Greensboro;NC 27406-6333
124641;Lawrence;Munro;806 Ridgeway St;Marianna;AR 72360-1511
130405;Gayla;Clouse;4584 Crump Rd;Memphis;TN 38141-7640
135327;Janise;Andrews;300 Broadacres Drive;Bloomfield;NJ 07003-3153
135620;Ivy;Haycraft;63315 Chalwain Rd;Saint Ignatius;MT 59865-9017
141417;Ebulus;Rice;2531 S Limestone St;Springfield;OH 45505-4937
148442;Lucy ;Morcombe;736 S White Horse Pike;Audubon;NJ 08106-1346
149413;Ebulus;Puddicombe;3316 Trappers Cove Trl, Apt 2A;Lansing;MI 48910-8242
150155;Dionise ;Mudge;7742 14th St, Apt 2;Westminster;CA 92683-4402
152654;Jasper;Pulsford;6801 Northlake Mall Dr, Ste 19;Charlotte;NC 28216-0750
153043;Manie;Aaron;1201 S Ervay St;Dallas;TX 75215-1124
153784;Donnie;Cusack;310 Laurie Lynn Dr;Baton Rouge;LA 70819-3435
154871;Daysi;Williams;3517 Ellery Cir;Falls Church;VA 22041-3052
154954;Arthur;Williams;115 Keymar Dr;York;PA 17402-9552
155904;Cornelius;Puddicombe;4411 Gardendale St;San Antonio;TX 78240-1194
156573;Janise;Corner;26620 Beltrees Rd;Godfrey;IL 62035-3615
157253;Francene;Richards;3234 S Semoran Blvd, Apt 22;Orlando;FL 32822-2743
157661;Goughe;Kyle;612 Flatbush Ave;Brooklyn;NY 11225-4955
158824;Marinda;Dials;2900 E Lincoln Ave;Anaheim;CA 92806-4043
159102;Jocatta ;Aplin;550 Belmont St;Watertown;MA 02472-4910
161406;Jesper;Bodley;12314 Ashford Place Dr;Sugar Land;TX 77478-6180
162020;Janel;Cerniglia;365 Pineapple St;Englewood;FL 34223-2835
168791;Josias;Fowler;1043 Bergen Blvd;Fort Lee;NJ 07024-1656
168919;Dorothy ;Jones;1055 N Capitol Ave, Apt 161;San Jose;CA 95133-2729
170063;Jesse;Ackrell;4210 NE Seventh St;Renton;WA 98059-4746
173546;Freeman;Georges;4210 Fowler St;Fort Myers;FL 33901-2619
175192;Phillip;Glinn;10708 Kings Riding Way;Rockville;MD 20852-5409
178769;Freeman;Drake;5441 Western Ave, Ste 2;Boulder;CO 80301-2733
183370;Charlie;Luscombe;7541 Clementine Dr;Corona;CA 92880-9019
184411;Nestor;Flom;42473 Magellan Sq;Ashburn;VA 20148-5608
186584;Eduardo;Kawasaki;8612 76th St;Woodhaven;NY 11421-1031
195859;Lawrence;Farquharson;201 Railroad Ave;East Rutherford;NJ 07073-1943
197785;Beatrice ;Oates;57 W Church St;Selbyville;DE 19975
198917;Margarete;Chapman;4115 Hale Ln;Island Lake;IL 60042-8200
199120;Ebulus;Neck;156 Mineola Boulevard;Mineola;NY 11501-3937
200082;Alexander;Chubb;3000 E Las Hermanas St;Compton;CA 90221-5511
203489;Keiko;Stlawrence;10309 Owen Brown Rd;Columbia;MD 21044-3833
205628;Colin;Stlawrence;134 Grove St;Chelsea;MA 02150-3317
218041;Freeman;Fines;7723 Frederick Rd;Hyattsville;MD 20784-1721
218571;Sarah ;Mudge;661 Clifton Park Ctr Rd;Clifton Park;NY 12065-1618
222727;Kristof;Bulley;112 Broad Street;Bloomfield;NJ 07003-2576
222938;Christa;Wilsey;1628 Fairway Dr;Johnson City;TN 37601-2614
223641;Arthur;Neck;520 Fourth Ave SW;Great Falls;MT 59404-2932
223984;Mikel;Swedberg;868 S Main St;Hollsopple;PA 15935-7014
228034;Shawanda;Georges;44 Steve Carmichael Rd;Hemingway;SC 29554-6157
231358;Lettice ;Waldeck;1456 Andrews Ln;East Meadow;NY 11554-3622
